Source,Target,Weight
1009159,1009163,2
1009159,1009168,12
1009159,1009175,26
1009159,1009182,14
1009159,1009219,6
1009159,1009220,4
1009159,1009243,22
1009159,1009257,28
1009159,1009265,2
1009159,1009267,4
1009159,1009309,8
1009159,1009310,10
1009159,1009312,2
1009159,1009313,16
1009159,1009327,6
1009159,1009337,18
1009159,1009343,2
1009159,1009351,4
1009159,1009362,30
1009159,1009368,2
1009159,1009381,12
1009159,1009382,8
1009159,1009417,12
1009159,1009425,8
1009159,1009465,4
1009159,1009472,20
1009159,1009499,18
1009159,1009504,22
1009159,1009524,8
1009159,1009546,16
1009159,1009554,10
1009159,1009562,4
1009159,1009629,32
1009159,1009636,4
1009159,1009664,4
1009159,1009666,4
1009159,1009697,6
1009159,1009707,2
1009159,1009718,34
1009163,1009182,2
1009163,1009220,2
1009163,1009243,2
1009163,1009257,4
1009163,1009337,2
1009163,1009472,2
1009163,1009504,2
1009163,1009524,2
1009163,1009629,2
1009163,1009664,2
1009168,1009175,14
1009168,1009182,4
1009168,1009220,2
1009168,1009243,14
1009168,1009257,18
1009168,1009265,2
1009168,1009309,4
1009168,1009310,6
1009168,1009312,2
1009168,1009313,8
1009168,1009327,2
1009168,1009337,4
1009168,1009351,2
1009168,1009362,10
1009168,1009368,2
1009168,1009381,6
1009168,1009382,2
1009168,1009417,4
1009168,1009472,18
1009168,1009499,4
1009168,1009504,4
1009168,1009524,2
1009168,1009546,6
1009168,1009554,4
1009168,1009562,2
1009168,1009629,20
1009168,1009636,4
1009168,1009664,2
1009168,1009666,4
1009168,1009697,2
1009168,1009707,2
1009168,1009718,24
1009175,1009182,10
1009175,1009187,2
1009175,1009219,12
1009175,1009220,4
1009175,1009243,28
1009175,1009257,46
1009175,1009267,4
1009175,1009281,2
1009175,1009309,6
1009175,1009310,24
1009175,1009312,4
1009175,1009313,24
1009175,1009327,14
1009175,1009337,8
1009175,1009338,2
1009175,1009343,2
1009175,1009351,8
1009175,1009362,32
1009175,1009368,10
1009175,1009381,14
1009175,1009382,2
1009175,1009417,8
1009175,1009425,8
1009175,1009465,2
1009175,1009472,20
1009175,1009499,12
1009175,1009504,22
1009175,1009524,8
1009175,1009546,22
1009175,1009554,12
1009175,1009562,4
1009175,1009629,28
1009175,1009636,4
1009175,1009664,12
1009175,1009666,4
1009175,1009697,6
1009175,1009707,2
1009175,1009718,64
1009182,1009187,2
1009182,1009189,2
1009182,1009219,10
1009182,1009220,2
1009182,1009243,6
1009182,1009257,12
1009182,1009281,2
1009182,1009297,2
1009182,1009309,6
1009182,1009310,6
1009182,1009313,8
1009182,1009327,4
1009182,1009337,6
1009182,1009338,2
1009182,1009351,2
1009182,1009362,12
1009182,1009368,2
1009182,1009381,6
1009182,1009417,2
1009182,1009425,2
1009182,1009465,2
1009182,1009472,2
1009182,1009499,4
1009182,1009504,4
1009182,1009524,8
1009182,1009546,8
1009182,1009552,2
1009182,1009554,6
1009182,1009562,2
1009182,1009629,20
1009182,1009664,2
1009182,1009697,2
1009182,1009707,2
1009182,1009718,16
1009187,1009189,2
1009187,1009219,2
1009187,1009220,14
1009187,1009243,4
1009187,1009257,4
1009187,1009281,4
1009187,1009297,4
1009187,1009312,4
1009187,1009313,2
1009187,1009338,6
1009187,1009343,2
1009187,1009351,6
1009187,1009362,2
1009187,1009368,14
1009187,1009407,2
