ID,Value,Label
1009159,"x-men","Archangel"
1009163,"x-men","Aurora"
1009168,"x-men","Banshee"
1009175,"x-men","Beast"
1009182,"x-men","Bishop"
1009187,"avengers","Black Panther"
1009189,"avengers","Black Widow"
1009219,"x-men","Cannonball"
1009220,"avengers","Captain America"
1009243,"x-men","Colossus"
1009257,"x-men","Cyclops"
1009265,"x-men","Dark Phoenix"
1009267,"x-men","Dazzler"
1009281,"avengers","Doctor Doom"
1009297,"avengers","Falcon"
1009309,"x-men","Forge"
1009310,"x-men","Emma Frost"
1009312,"avengers","Galactus"
1009313,"x-men","Gambit"
1009327,"x-men","Jean Grey"
1009337,"x-men","Havok"
1009338,"avengers","Hawkeye"
1009343,"avengers","Hercules"
1009351,"avengers","Hulk"
1009362,"x-men","Iceman"
1009368,"avengers","Iron Man"
1009381,"x-men","Jubilee"
1009382,"x-men","Juggernaut"
1009407,"avengers","Loki"
1009417,"x-men","Magneto"
1009421,"avengers","Mandarin"
1009425,"x-men","Marrow"
1009465,"x-men","Mystique"
1009471,"avengers","Nick Fury"
1009472,"x-men","Nightcrawler"
1009499,"x-men","Polaris"
1009504,"x-men","Professor X"
1009524,"avengers","Quicksilver"
1009546,"x-men","Rogue"
1009552,"avengers","S.H.I.E.L.D."
1009554,"x-men","Sabretooth"
1009562,"avengers","Scarlet Witch"
1009629,"x-men","Storm"
1009636,"x-men","Sunfire"
1009641,"avengers","Swordsman"
1009652,"avengers","Thanos"
1009664,"avengers","Thor"
1009666,"x-men","Thunderbird (John Proudstar)"
1009685,"avengers","Ultron"
1009697,"avengers","Vision"
1009707,"avengers","Wasp"
1009718,"x-men","Wolverine"
1010338,"avengers","Captain Marvel (Carol Danvers)"
1010740,"avengers","Winter Soldier"
1010801,"avengers","Ant-Man (Scott Lang)"
1011026,"avengers","Mantis"
1017577,"avengers","Ms. Marvel (Kamala Khan)"
